Common name	Scientific name	Status	No.	No. Back
Black-capped Swallow	Notiochelidon pileata		8	2
Andean Swallow	Haplochelidon andecola		8	0
White-banded Swallow	Atticora fasciata		27	12
Black-collared Swallow	Atticora melanoleuca		6	1
White-thighed Swallow	Neochelidon tibialis		27	4
Northern Rough-winged Swallow	Stelgidopteryx serripennis		33	15
Southern Rough-winged Swallow	Stelgidopteryx ruficollis		75	39
Tawny-headed Swallow	Alopochelidon fucata		20	0
Barn Swallow	Hirundo rustica		818	560
Common House Martin	Delichon urbicum		276	256
Tree Martin	Petrochelidon nigricans		9	5
American Cliff Swallow	Petrochelidon pyrrhonota		62	36
Cave Swallow	Petrochelidon fulva		18	3
Chestnut-collared Swallow	Petrochelidon rufocollaris		12	0
Japanese Bush Warbler	Horornis diphone		109	143
American Bushtit	Psaltriparus minimus		120	105
Willow Warbler	Phylloscopus trochilus		1625	1716
Wood Warbler	Phylloscopus sibilatrix		422	201
Dusky Warbler	Phylloscopus fuscatus		132	30
Pallas's Leaf Warbler	Phylloscopus proregulus		69	17
Yellow-browed Warbler	Phylloscopus inornatus		258	72
Arctic Warbler	Phylloscopus borealis		125	42
Sedge Warbler	Acrocephalus schoenobaenus		514	426
Lanceolated Warbler	Locustella lanceolata		55	24
Middendorff's Grasshopper Warbler	Locustella ochotensis		13	0
Black-capped Donacobius	Donacobius atricapilla		144	64
White-eared Tailorbird	Orthotomus cinereiceps		14	0
Chinese Hwamei	Garrulax canorus		33	7
Lesser Whitethroat	Sylvia curruca		691	217
Wrentit	Chamaea fasciata		66	152
Golden-crowned Kinglet	Regulus satrapa		165	171
Ruby-crowned Kinglet	Regulus calendula		271	421
White-headed Wren	Campylorhynchus albobrunneus		18	0
Band-backed Wren	Campylorhynchus zonatus		96	37
Grey-barred Wren	Campylorhynchus megalopterus		29	13
Stripe-backed Wren	Campylorhynchus nuchalis		19	3
Fasciated Wren	Campylorhynchus fasciatus		70	41
Giant Wren	Campylorhynchus chiapensis		32	3
Bicolored Wren	Campylorhynchus griseus		84	43
Rufous-naped Wren	Campylorhynchus rufinucha		7	6
Spotted Wren	Campylorhynchus gularis		35	5
Boucard's Wren	Campylorhynchus jocosus		18	2
Yucatan Wren	Campylorhynchus yucatanicus		10	0
Cactus Wren	Campylorhynchus brunneicapillus		118	514
Thrush-like Wren	Campylorhynchus turdinus		132	448
Grey-mantled Wren	Odontorchilus branickii		31	5
Tooth-billed Wren	Odontorchilus cinereus		40	8
Rock Wren	Salpinctes obsoletus		90	46
Canyon Wren	Catherpes mexicanus		146	148
Sumichrast's Wren	Hylorchilus sumichrasti		32	0
Nava's Wren	Hylorchilus navai		25	5
Rufous Wren	Cinnycerthia unirufa		102	7
Sepia-brown Wren	Cinnycerthia olivascens		126	15
Fulvous Wren	Cinnycerthia fulva		9	0
Sedge Wren	Cistothorus platensis		350	105
Merida Wren	Cistothorus meridae		7	0
Apolinar's Wren	Cistothorus apolinari		117	3
Marsh Wren	Cistothorus palustris		275	288
Bewick's Wren	Thryomanes bewickii		500	580
Black-throated Wren	Pheugopedius atrogularis		24	6
Sooty-headed Wren	Pheugopedius spadix		76	8
Black-bellied Wren	Pheugopedius fasciatoventris		92	60
Plain-tailed Wren	Pheugopedius euophrys		99	34
Inca Wren	Pheugopedius eisenmanni		30	4
Moustached Wren	Pheugopedius genibarbis		169	501
Whiskered Wren	Pheugopedius mystacalis		148	49
Coraya Wren	Pheugopedius coraya		185	72
Happy Wren	Pheugopedius felix		51	11
Spot-breasted Wren	Pheugopedius maculipectus		138	76
Rufous-breasted Wren	Pheugopedius rutilus		116	31
Speckle-breasted Wren	Pheugopedius sclateri		105	40
Banded Wren	Thryophilus pleurostictus		108	48
Rufous-and-white Wren	Thryophilus rufalbus		159	91
Niceforo's Wren	Thryophilus nicefori		86	3
Sinaloa Wren	Thryophilus sinaloa		79	26
Plain Wren	Cantorchilus modestus		167	83
Buff-breasted Wren	Cantorchilus leucotis		279	337
Superciliated Wren	Cantorchilus superciliaris		67	24
Fawn-breasted Wren	Cantorchilus guarayanus		70	68
Long-billed Wren	Cantorchilus longirostris		151	87
Grey Wren	Cantorchilus griseus		2	0
Riverside Wren	Cantorchilus semibadius		50	11
Bay Wren	Cantorchilus nigricapillus		183	76
Stripe-breasted Wren	Cantorchilus thoracicus		45	11
Stripe-throated Wren	Cantorchilus leucopogon		42	34
Carolina Wren	Thryothorus ludovicianus		377	787
Winter Wren	Troglodytes hiemalis		190	105
Pacific Wren	Troglodytes pacificus		155	35
Clarion Wren	Troglodytes tanneri		1	0
House Wren	Troglodytes aedon		1068	1762
Socorro Wren	Troglodytes sissonii		2	0
Rufous-browed Wren	Troglodytes rufociliatus		54	40
Ochraceous Wren	Troglodytes ochraceus		29	8
Mountain Wren	Troglodytes solstitialis		169	68
Santa Marta Wren	Troglodytes monticola		11	0
Tepui Wren	Troglodytes rufulus		16	0
Timberline Wren	Thryorchilus browni		26	1
White-bellied Wren	Uropsila leucogastra		49	7
White-breasted Wood Wren	Henicorhina leucosticta		390	127
Grey-breasted Wood Wren	Henicorhina leucophrys		728	464
Bar-winged Wood Wren	Henicorhina leucoptera		73	1
Northern Nightingale-Wren	Microcerculus philomela		42	3
Southern Nightingale-Wren	Microcerculus marginatus		233	201
Flutist Wren	Microcerculus ustulatus		34	3
Wing-banded Wren	Microcerculus bambla		42	7
Chestnut-breasted Wren	Cyphorhinus thoracicus		145	8
Musician Wren	Cyphorhinus arada		112	18
Song Wren	Cyphorhinus phaeocephalus		76	21
Collared Gnatwren	Microbates collaris		39	7
Tawny-faced Gnatwren	Microbates cinereiventris		81	67
Long-billed Gnatwren	Ramphocaenus melanurus		378	290
Blue-grey Gnatcatcher	Polioptila caerulea		231	320
Black-tailed Gnatcatcher	Polioptila melanura		77	25
California Gnatcatcher	Polioptila californica		36	9
White-lored Gnatcatcher	Polioptila albiloris		31	9
Black-capped Gnatcatcher	Polioptila nigriceps		54	6
Tropical Gnatcatcher	Polioptila plumbea		184	148
Creamy-bellied Gnatcatcher	Polioptila lactea		22	2
Guianan Gnatcatcher	Polioptila guianensis		0	0
Iquitos Gnatcatcher	Polioptila clementsi		6	0
Slate-throated Gnatcatcher	Polioptila schistaceigula		15	2
Masked Gnatcatcher	Polioptila dumicola		132	37
Pygmy Nuthatch	Sitta pygmaea		86	176
Brown-headed Nuthatch	Sitta pusilla		54	27
Red-breasted Nuthatch	Sitta canadensis		159	216
White-breasted Nuthatch	Sitta carolinensis		291	479
Brown Creeper	Certhia americana		231	124
Grey Catbird	Dumetella carolinensis		311	375
Black Catbird	Melanoptila glabrirostris		30	4
Northern Mockingbird	Mimus polyglottos		266	627
Tropical Mockingbird	Mimus gilvus		155	69
Bahama Mockingbird	Mimus gundlachii		22	4
Chilean Mockingbird	Mimus thenca		21	4
Long-tailed Mockingbird	Mimus longicaudatus		56	127
Chalk-browed Mockingbird	Mimus saturninus		111	35
Patagonian Mockingbird	Mimus patagonicus		21	1
White-banded Mockingbird	Mimus triurus		25	0
Brown-backed Mockingbird	Mimus dorsalis		16	3
Socorro Mockingbird	Mimus graysoni		1	0
Sage Thrasher	Oreoscoptes montanus		29	11
Brown Thrasher	Toxostoma rufum		129	78
Long-billed Thrasher	Toxostoma longirostre		42	19
Cozumel Thrasher	Toxostoma guttatum		1	0
Grey Thrasher	Toxostoma cinereum		14	15
Bendire's Thrasher	Toxostoma bendirei		28	4
Ocellated Thrasher	Toxostoma ocellatum		19	1
Curve-billed Thrasher	Toxostoma curvirostre		317	186
California Thrasher	Toxostoma redivivum		85	48
Crissal Thrasher	Toxostoma crissale		99	33
Le Conte's Thrasher	Toxostoma lecontei		26	0
Blue Mockingbird	Melanotis caerulescens		108	52
Blue-and-white Mockingbird	Melanotis hypoleucus		40	4
Pearly-eyed Thrasher	Margarops fuscatus		24	39
Common Hill Myna	Gracula religiosa		85	29
Crested Myna	Acridotheres cristatellus		19	5
Common Myna	Acridotheres tristis		158	183
Common Starling	Sturnus vulgaris		536	956
Varied Thrush	Ixoreus naevius		66	119
Aztec Thrush	Ridgwayia pinicola		6	1
Eastern Bluebird	Sialia sialis		83	79
Western Bluebird	Sialia mexicana		42	92
Mountain Bluebird	Sialia currucoides		26	18
Townsend's Solitaire	Myadestes townsendi		65	18
Brown-backed Solitaire	Myadestes occidentalis		157	308
Rufous-throated Solitaire	Myadestes genibarbis		22	7
Black-faced Solitaire	Myadestes melanops		36	22
Varied Solitaire	Myadestes coloratus		10	3
Andean Solitaire	Myadestes ralloides		218	195
Slate-colored Solitaire	Myadestes unicolor		67	140
Rufous-brown Solitaire	Cichlopsis leucogenys		26	1
Black-billed Nightingale-Thrush	Catharus gracilirostris		33	12
Orange-billed Nightingale-Thrush	Catharus aurantiirostris		278	98
Slaty-backed Nightingale-Thrush	Catharus fuscater		130	30
Russet Nightingale-Thrush	Catharus occidentalis		25	13
Ruddy-capped Nightingale-Thrush	Catharus frantzii		45	24
Black-headed Nightingale-Thrush	Catharus mexicanus		81	61
Spotted Nightingale-Thrush	Catharus dryas		84	31
Veery	Catharus fuscescens		182	141
Grey-cheeked Thrush	Catharus minimus		72	13
Bicknell's Thrush	Catharus bicknelli		44	5
Swainson's Thrush	Catharus ustulatus		429	545
Hermit Thrush	Catharus guttatus		266	366
Wood Thrush	Hylocichla mustelina		227	253
Black Solitaire	Entomodestes coracinus		22	1
White-eared Solitaire	Entomodestes leucotis		32	34
Yellow-legged Thrush	Turdus flavipes		170	89
Pale-eyed Thrush	Turdus leucops		52	17
Common Blackbird	Turdus merula		2426	7334
Eyebrowed Thrush	Turdus obscurus		35	4
Dusky Thrush	Turdus eunomus		50	27
Fieldfare	Turdus pilaris		484	628
Redwing	Turdus iliacus		421	527
Song Thrush	Turdus philomelos		1580	3454
Great Thrush	Turdus fuscater		178	122
Chiguanco Thrush	Turdus chiguanco		100	48
Sooty Thrush	Turdus nigrescens		9	3
Black Thrush	Turdus infuscatus		47	79
Glossy-black Thrush	Turdus serranus		111	133
Andean Slaty Thrush	Turdus nigriceps		62	14
Eastern Slaty Thrush	Turdus subalaris		41	7
Plumbeous-backed Thrush	Turdus reevei		38	29
Black-hooded Thrush	Turdus olivater		28	3
Maranon Thrush	Turdus maranonicus		20	13
Chestnut-bellied Thrush	Turdus fulviventris		31	2
Rufous-bellied Thrush	Turdus rufiventris		303	345
Austral Thrush	Turdus falcklandii		53	11
Pale-breasted Thrush	Turdus leucomelas		219	286
Creamy-bellied Thrush	Turdus amaurochalinus		99	92
Mountain Thrush	Turdus plebejus		31	9
Black-billed Thrush	Turdus ignobilis		98	102
Lawrence's Thrush	Turdus lawrencii		61	205
Cocoa Thrush	Turdus fumigatus		29	17
Pale-vented Thrush	Turdus obsoletus		32	13
Hauxwell's Thrush	Turdus hauxwelli		69	205
Unicolored Thrush	Turdus haplochrous		12	0
Clay-colored Thrush	Turdus grayi		205	322
Spectacled Thrush	Turdus nudigenis		64	24
Varzea Thrush	Turdus sanchezorum		10	1
White-throated Thrush	Turdus assimilis		84	70
White-necked Thrush	Turdus albicollis		152	247
Rufous-backed Thrush	Turdus rufopalliatus		46	30
Rufous-collared Thrush	Turdus rufitorques		25	3
American Robin	Turdus migratorius		425	1667
La Selle Thrush	Turdus swalesi		6	0
Red-legged Thrush	Turdus plumbeus		37	32
Spotted Flycatcher	Muscicapa striata		318	121
Grey-streaked Flycatcher	Muscicapa griseisticta		37	0
Dark-sided Flycatcher	Muscicapa sibirica		19	0
Asian Brown Flycatcher	Muscicapa latirostris		169	13
Siberian Blue Robin	Larvivora cyane		58	9
Bluethroat	Luscinia svecica		417	105
Siberian Rubythroat	Calliope calliope		94	16
Red-flanked Bluetail	Tarsiger cyanurus		77	23
Narcissus Flycatcher	Ficedula narcissina		159	185
Mugimaki Flycatcher	Ficedula mugimaki		38	15
Taiga Flycatcher	Ficedula albicilla		54	9
Blue Rock Thrush	Monticola solitarius		116	23
Siberian Stonechat	Saxicola maurus		27	5
Northern Wheatear	Oenanthe oenanthe		141	14
American Dipper	Cinclus mexicanus		25	0
White-capped Dipper	Cinclus leucocephalus		7	0
Rufous-throated Dipper	Cinclus schulzii		4	0
House Sparrow	Passer domesticus		964	2175
Eurasian Tree Sparrow	Passer montanus		1111	1285
Southern Masked Weaver	Ploceus velatus		28	21
Village Weaver	Ploceus cucullatus		64	55
Northern Red Bishop	Euplectes franciscanus		11	1
Orange-cheeked Waxbill	Estrilda melpoda		6	2
Common Waxbill	Estrilda astrild		119	109
Red Avadavat	Amandava amandava		29	1
Black-throated Finch	Poephila cincta		3	1
African Silverbill	Euodice cantans		14	8
Indian Silverbill	Euodice malabarica		9	3
Scaly-breasted Munia	Lonchura punctulata		53	16
Tricolored Munia	Lonchura malacca		6	0
Chestnut Munia	Lonchura atricapilla		15	4
Java Sparrow	Lonchura oryzivora		5	2
Pin-tailed Whydah	Vidua macroura		29	5
Olive Warbler	Peucedramus taeniatus		92	57
Siberian Accentor	Prunella montanella		12	0
Eastern Yellow Wagtail	Motacilla tschutschensis		49	5
Citrine Wagtail	Motacilla citreola		96	14
Grey Wagtail	Motacilla cinerea		233	68
White Wagtail	Motacilla alba		472	470
Meadow Pipit	Anthus pratensis		286	506
Tree Pipit	Anthus trivialis		502	363
Olive-backed Pipit	Anthus hodgsoni		114	33
Pechora Pipit	Anthus gustavi		15	3
Red-throated Pipit	Anthus cervinus		130	23
Buff-bellied Pipit	Anthus rubescens		95	22
Water Pipit	Anthus spinoletta		163	27
Sprague's Pipit	Anthus spragueii		29	32
Yellowish Pipit	Anthus lutescens		74	14
Short-billed Pipit	Anthus furcatus		34	5
Pampas Pipit	Anthus chacoensis		4	0
Correndera Pipit	Anthus correndera		75	5
Ochre-breasted Pipit	Anthus nattereri		43	0
Hellmayr's Pipit	Anthus hellmayri		85	1
Paramo Pipit	Anthus bogotensis		21	3
Common Chaffinch	Fringilla coelebs		2569	7778
Brambling	Fringilla montifringilla		197	183
Evening Grosbeak	Hesperiphona vespertina		118	26
Hooded Grosbeak	Hesperiphona abeillei		27	7
Hawfinch	Coccothraustes coccothraustes		342	388
Pine Grosbeak	Pinicola enucleator		91	14
Eurasian Bullfinch	Pyrrhula pyrrhula		598	410
Asian Rosy Finch	Leucosticte arctoa		9	2
Grey-crowned Rosy Finch	Leucosticte tephrocotis		44	5
Black Rosy Finch	Leucosticte atrata		33	4
Brown-capped Rosy Finch	Leucosticte australis		13	0
Common Rosefinch	Carpodacus erythrinus		331	153
Purple Finch	Haemorhous purpureus		202	79
Cassin's Finch	Haemorhous cassinii		118	99
House Finch	Haemorhous mexicanus		223	1183
European Greenfinch	Chloris chloris		777	1634
Grey-capped Greenfinch	Chloris sinica		40	34
Common Redpoll	Acanthis flammea		264	145
Arctic Redpoll	Acanthis hornemanni		53	12
Red Crossbill	Loxia curvirostra		1510	498
Two-barred Crossbill	Loxia leucoptera		148	37
European Goldfinch	Carduelis carduelis		668	1242
Lawrence's Goldfinch	Spinus lawrencei		35	5
American Goldfinch	Spinus tristis		176	485
Lesser Goldfinch	Spinus psaltria		177	401
Eurasian Siskin	Spinus spinus		373	592
Antillean Siskin	Spinus dominicensis		3	0
Pine Siskin	Spinus pinus		187	308
Black-capped Siskin	Spinus atriceps		1	0
Black-headed Siskin	Spinus notata		22	8
Black-chinned Siskin	Spinus barbata		25	3
Yellow-bellied Siskin	Spinus xanthogastra		37	3
Olivaceous Siskin	Spinus olivacea		21	2
Hooded Siskin	Spinus magellanica		93	30
Saffron Siskin	Spinus siemiradzkii		13	0
Yellow-faced Siskin	Spinus yarrellii		4	0
Red Siskin	Spinus cucullata		0	0
Black Siskin	Spinus atrata		20	7
Yellow-rumped Siskin	Spinus uropygialis		5	0
Thick-billed Siskin	Spinus crassirostris		20	2
Andean Siskin	Spinus spinescens		24	0
Plumbeous Euphonia	Euphonia plumbea		26	1
Scrub Euphonia	Euphonia affinis		56	25
Yellow-crowned Euphonia	Euphonia luteicapilla		17	6
Purple-throated Euphonia	Euphonia chlorotica		137	100
Trinidad Euphonia	Euphonia trinitatis		28	6
Velvet-fronted Euphonia	Euphonia concinna		21	1
Orange-crowned Euphonia	Euphonia saturata		9	0
Finsch's Euphonia	Euphonia finschi		14	2
Violaceous Euphonia	Euphonia violacea		93	14
Thick-billed Euphonia	Euphonia laniirostris		106	78
Yellow-throated Euphonia	Euphonia hirundinacea		58	18
Green-chinned Euphonia	Euphonia chalybea		30	3
Elegant Euphonia	Euphonia elegantissima		37	3
Golden-rumped Euphonia	Euphonia cyanocephala		80	8
Antillean Euphonia	Euphonia musica		11	0
Fulvous-vented Euphonia	Euphonia fulvicrissa		29	10
Spot-crowned Euphonia	Euphonia imitans		15	0
Olive-backed Euphonia	Euphonia gouldi		39	9
White-lored Euphonia	Euphonia chrysopasta		85	28
Bronze-green Euphonia	Euphonia mesochrysa		52	9
White-vented Euphonia	Euphonia minuta		42	4
Tawny-capped Euphonia	Euphonia anneae		10	1
Orange-bellied Euphonia	Euphonia xanthogaster		175	182
Rufous-bellied Euphonia	Euphonia rufiventris		43	47
Chestnut-bellied Euphonia	Euphonia pectoralis		42	28
Golden-sided Euphonia	Euphonia cayennensis		17	2
Yellow-collared Chlorophonia	Chlorophonia flavirostris		27	3
Blue-naped Chlorophonia	Chlorophonia cyanea		79	20
Chestnut-breasted Chlorophonia	Chlorophonia pyrrhophrys		50	6
Blue-crowned Chlorophonia	Chlorophonia occipitalis		32	28
Golden-browed Chlorophonia	Chlorophonia callophrys		11	2
Ovenbird	Seiurus aurocapilla		187	370
Worm-eating Warbler	Helmitheros vermivorum		108	46
Louisiana Waterthrush	Parkesia motacilla		122	25
Northern Waterthrush	Parkesia noveboracensis		215	192
Bachman's Warbler	Vermivora bachmanii		0	0
Golden-winged Warbler	Vermivora chrysoptera		85	16
Blue-winged Warbler	Vermivora cyanoptera		106	75
Black-and-white Warbler	Mniotilta varia		177	153
Prothonotary Warbler	Protonotaria citrea		54	50
Swainson's Warbler	Limnothlypis swainsonii		148	28
Crescent-chested Warbler	Oreothlypis superciliosa		61	38
Flame-throated Warbler	Oreothlypis gutturalis		14	2
Tennessee Warbler	Leiothlypis peregrina		167	188
Orange-crowned Warbler	Leiothlypis celata		193	183
Colima Warbler	Leiothlypis crissalis		24	1
Lucy's Warbler	Leiothlypis luciae		64	244
Nashville Warbler	Leiothlypis ruficapilla		135	121
Virginia's Warbler	Leiothlypis virginiae		48	23
Connecticut Warbler	Oporornis agilis		46	5
Grey-crowned Yellowthroat	Geothlypis poliocephala		72	39
Masked Yellowthroat	Geothlypis aequinoctialis		22	11
MacGillivray's Warbler	Geothlypis tolmiei		163	73
Mourning Warbler	Geothlypis philadelphia		137	25
Kentucky Warbler	Geothlypis formosa		111	45
Olive-crowned Yellowthroat	Geothlypis semiflava		46	16
Black-polled Yellowthroat	Geothlypis speciosa		33	2
Belding's Yellowthroat	Geothlypis beldingi		7	2
Altamira Yellowthroat	Geothlypis flavovelata		4	0
Common Yellowthroat	Geothlypis trichas		336	983
Hooded Yellowthroat	Geothlypis nelsoni		12	2
Hooded Warbler	Setophaga citrina		169	150
American Redstart	Setophaga ruticilla		291	386
Kirtland's Warbler	Setophaga kirtlandii		30	9
Cape May Warbler	Setophaga tigrina		73	6
Cerulean Warbler	Setophaga cerulea		76	21
Northern Parula	Setophaga americana		189	211
Tropical Parula	Setophaga pitiayumi		257	370
Magnolia Warbler	Setophaga magnolia		179	212
Bay-breasted Warbler	Setophaga castanea		68	14
Blackburnian Warbler	Setophaga fusca		135	70
Mangrove Warbler	Setophaga petechia		86	55
Chestnut-sided Warbler	Setophaga pensylvanica		141	162
Blackpoll Warbler	Setophaga striata		174	104
Black-throated Blue Warbler	Setophaga caerulescens		101	86
Palm Warbler	Setophaga palmarum		53	32
Pine Warbler	Setophaga pinus		113	107
Myrtle Warbler	Setophaga coronata		180	348
Yellow-throated Warbler	Setophaga dominica		74	48
Vitelline Warbler	Setophaga vitellina		5	0
Prairie Warbler	Setophaga discolor		96	86
Grace's Warbler	Setophaga graciae		97	124
Black-throated Grey Warbler	Setophaga nigrescens		114	133
Townsend's Warbler	Setophaga townsendi		129	72
Hermit Warbler	Setophaga occidentalis		46	17
Golden-cheeked Warbler	Setophaga chrysoparia		28	4
Black-throated Green Warbler	Setophaga virens		128	208
Citrine Warbler	Myiothlypis luteoviridis		82	43
Santa Marta Warbler	Myiothlypis basilica		16	0
White-striped Warbler	Myiothlypis leucophrys		20	2
Flavescent Warbler	Myiothlypis flaveola		110	114
White-rimmed Warbler	Myiothlypis leucoblephara		125	209
Pale-legged Warbler	Myiothlypis signata		58	10
Black-crested Warbler	Myiothlypis nigrocristata		145	139
Buff-rumped Warbler	Myiothlypis fulvicauda		156	33
Riverbank Warbler	Myiothlypis rivularis		91	15
Two-banded Warbler	Myiothlypis bivittata		46	50
Cuzco Warbler	Myiothlypis chrysogaster		14	25
White-lored Warbler	Myiothlypis conspicillata		26	10
Grey-throated Warbler	Myiothlypis cinereicollis		31	1
Grey-and-gold Warbler	Myiothlypis fraseri		53	124
Russet-crowned Warbler	Myiothlypis coronata		197	318
Grey-headed Warbler	Myiothlypis griseiceps		9	0
Fan-tailed Warbler	Basileuterus lachrymosus		35	5
Rufous-capped Warbler	Basileuterus rufifrons		165	60
Black-cheeked Warbler	Basileuterus melanogenys		23	0
Pirre Warbler	Basileuterus ignotus		10	1
Golden-browed Warbler	Basileuterus belli		33	21
Golden-crowned Warbler	Basileuterus culicivorus		296	581
Three-banded Warbler	Basileuterus trifasciatus		27	12
Three-striped Warbler	Basileuterus tristriatus		159	135
Canada Warbler	Cardellina canadensis		135	38
Wilson's Warbler	Cardellina pusilla		199	257
Red-faced Warbler	Cardellina rubrifrons		46	17
Red Warbler	Cardellina rubra		42	9
Pink-headed Warbler	Cardellina versicolor		15	0
Painted Whitestart	Myioborus pictus		119	142
Slate-throated Whitestart	Myioborus miniatus		230	374
Brown-capped Whitestart	Myioborus brunniceps		35	30
Yellow-crowned Whitestart	Myioborus flavivertex		21	8
White-fronted Whitestart	Myioborus albifrons		11	2
Golden-fronted Whitestart	Myioborus ornatus		76	58
Spectacled Whitestart	Myioborus melanocephalus		66	89
Collared Whitestart	Myioborus torquatus		14	0
Paria Whitestart	Myioborus pariae		4	0
White-faced Whitestart	Myioborus albifacies		0	0
Guaiquinima Whitestart	Myioborus cardonai		0	0
Tepui Whitestart	Myioborus castaneocapilla		14	0
Green-tailed Warbler	Microligea palustris		4	0
Wrenthrush	Zeledonia coronata		34	1
Yellow-breasted Chat	Icteria virens		203	558
White-winged Warbler	Xenoligea montana		2	0
Yellow-headed Blackbird	Xanthocephalus xanthocephalus		79	162
Bobolink	Dolichonyx oryzivorus		143	65
Western Meadowlark	Sturnella neglecta		274	618
Eastern Meadowlark	Sturnella magna		247	253
Red-breasted Blackbird	Sturnella militaris		30	24
White-browed Blackbird	Sturnella superciliaris		54	7
Peruvian Meadowlark	Sturnella bellicosa		53	45
Long-tailed Meadowlark	Sturnella loyca		48	4
Pampas Meadowlark	Sturnella defilippii		5	0
Yellow-billed Cacique	Amblycercus holosericeus		71	7
Mexican Cacique	Cassiculus melanicterus		35	26
Chestnut-headed Oropendola	Psarocolius wagleri		57	22
Russet-backed Oropendola	Psarocolius angustifrons		204	350
Dusky-green Oropendola	Psarocolius atrovirens		42	30
Crested Oropendola	Psarocolius decumanus		156	173
Green Oropendola	Psarocolius viridis		74	34
Olive Oropendola	Psarocolius bifasciatus		45	125
Montezuma Oropendola	Psarocolius montezuma		67	76
Black Oropendola	Psarocolius guatimozinus		3	1
Baudo Oropendola	Psarocolius cassini		11	0
Solitary Cacique	Cacicus solitarius		82	34
Golden-winged Cacique	Cacicus chrysopterus		97	33
Selva Cacique	Cacicus koepckeae		6	0
Ecuadorian Cacique	Cacicus sclateri		8	0
Yellow-rumped Cacique	Cacicus cela		237	442
Scarlet-rumped Cacique	Cacicus microrhynchus		59	86
Northern Mountain Cacique	Cacicus leucoramphus		95	22
Southern Mountain Cacique	Cacicus chrysonotus		33	12
Band-tailed Oropendola	Cacicus latirostris		11	1
Casqued Oropendola	Cacicus oseryi		32	124
Red-rumped Cacique	Cacicus haemorrhous		127	226
Scott's Oriole	Icterus parisorum		149	181
Yellow-backed Oriole	Icterus chrysater		120	62
Audubon's Oriole	Icterus graduacauda		40	11
Jamaican Oriole	Icterus leucopteryx		3	4
Orange Oriole	Icterus auratus		4	1
Altamira Oriole	Icterus gularis		65	23
Yellow Oriole	Icterus nigrogularis		53	14
Bullock's Oriole	Icterus bullockii		176	215
Streak-backed Oriole	Icterus pustulatus		42	32
Black-backed Oriole	Icterus abeillei		9	0
Baltimore Oriole	Icterus galbula		194	250
Yellow-tailed Oriole	Icterus mesomelas		51	11
Spot-breasted Oriole	Icterus pectoralis		25	3
White-edged Oriole	Icterus graceannae		22	8
Venezuelan Troupial	Icterus icterus		31	5
Orange-backed Troupial	Icterus croconotus		47	8
Bar-winged Oriole	Icterus maculialatus		7	0
Black-vented Oriole	Icterus wagleri		34	17
Hooded Oriole	Icterus cucullatus		150	162
Black-cowled Oriole	Icterus prosthemelas		8	1
Orchard Oriole	Icterus spurius		105	69
Ochre Oriole	Icterus fuertesi		4	0
Hispaniolan Oriole	Icterus dominicensis		1	0
Orange-crowned Oriole	Icterus auricapillus		7	0
Epaulet Oriole	Icterus cayanensis		45	11
Jamaican Blackbird	Nesopsar nigerrimus		5	0
Tawny-shouldered Blackbird	Agelaius humeralis		2	0
Tricolored Blackbird	Agelaius tricolor		61	1
Red-winged Blackbird	Agelaius phoeniceus		497	1981
Red-shouldered Blackbird	Agelaius assimilis		4	0
Screaming Cowbird	Molothrus rufoaxillaris		75	1
Giant Cowbird	Molothrus oryzivorus		50	2
Shiny Cowbird	Molothrus bonariensis		133	44
Bronzed Cowbird	Molothrus aeneus		42	9
Bronze-brown Cowbird	Molothrus armenti		13	0
Brown-headed Cowbird	Molothrus ater		190	393
Scrub Blackbird	Dives warczewiczi		66	68
Melodious Blackbird	Dives dives		101	206
Rusty Blackbird	Euphagus carolinus		68	6
Brewer's Blackbird	Euphagus cyanocephalus		60	35
Common Grackle	Quiscalus quiscula		131	228
Nicaraguan Grackle	Quiscalus nicaraguensis		4	0
Carib Grackle	Quiscalus lugubris		54	24
Greater Antillean Grackle	Quiscalus niger		30	16
Boat-tailed Grackle	Quiscalus major		77	178
Great-tailed Grackle	Quiscalus mexicanus		158	359
Red-bellied Grackle	Hypopyrrhus pyrohypogaster		51	0
Velvet-fronted Grackle	Lampropsar tanagrinus		17	5
Oriole Blackbird	Gymnomystax mexicanus		33	10
Colombian Mountain Grackle	Macroagelaius subalaris		69	7
Golden-tufted Mountain Grackle	Macroagelaius imthurni		25	1
Austral Blackbird	Curaeus curaeus		41	3
Scarlet-headed Blackbird	Amblyramphus holosericeus		56	3
Forbes's Blackbird	Anumara forbesi		14	0
Chopi Blackbird	Gnorimopsar chopi		107	145
Bolivian Blackbird	Oreopsar bolivianus		8	6
Greyish Baywing	Agelaioides badius		104	23
Yellow-winged Blackbird	Agelasticus thilius		67	14
Pale-eyed Blackbird	Agelasticus xanthophthalmus		9	1
Unicolored Blackbird	Agelasticus cyanopus		17	10
Chestnut-capped Blackbird	Chrysomus ruficapillus		81	22
Yellow-hooded Blackbird	Chrysomus icterocephalus		68	15
Saffron-cowled Blackbird	Xanthopsar flavus		39	0
Brown-and-yellow Marshbird	Pseudoleistes virescens		50	8
Yellow-rumped Marshbird	Pseudoleistes guirahuro		75	1
Bananaquit	Coereba flaveola		387	575
Crested Bunting	Emberiza lathami		8	1
Pine Bunting	Emberiza leucocephalos		38	8
Little Bunting	Emberiza pusilla		69	5
Yellow-browed Bunting	Emberiza chrysophrys		10	1
